fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-9.70,0,0,11,0.5,10,0.45454545454545453,12,7,7,-7,1
-22.10,5,0,8,0.36363636363636365,13,0.5909090909090909,15,11,0,5,1
-14.00,0,0,8,0.38095238095238093,9,0.42857142857142855,12,4,4,-4,1
-24.00,5,0,10,0.43478260869565216,15,0.6521739130434783,18,8,2,3,1
-25.70,6,1,8,0.34782608695652173,13,0.5652173913043478,16,7,0,6,1
-7.30,0,0,13,0.5909090909090909,8,0.36363636363636365,11,4,4,-4,1
-25.20,6,1,9,0.4090909090909091,16,0.7272727272727273,23,11,5,1,1
-11.50,6,1,8,0.36363636363636365,10,0.45454545454545453,10,7,0,6,1
-14.00,5,0,8,0.38095238095238093,10,0.47619047619047616,19,5,4,1,1
-5.80,3,0,9,0.4090909090909091,10,0.45454545454545453,18,5,4,-1,1
-17.70,4,0,7,0.3333333333333333,13,0.6190476190476191,24,6,6,-2,1
-21.60,5,0,9,0.4090909090909091,15,0.6818181818181818,16,5,4,1,1
-14.60,2,0,9,0.47368421052631576,12,0.631578947368421,16,8,6,-4,1
-2.50,0,0,12,0.5454545454545454,5,0.22727272727272727,5,5,5,-5,1
-16.00,5,0,9,0.5,14,0.7777777777777778,16,14,5,0,1
-20.10,3,0,10,0.45454545454545453,14,0.6363636363636364,15,9,5,-2,1
-19.80,6,1,8,0.38095238095238093,11,0.5238095238095238,12,11,0,6,1
-25.50,6,1,8,0.36363636363636365,15,0.6818181818181818,19,15,0,6,1
-21.50,6,1,6,0.3157894736842105,12,0.631578947368421,13,12,1,5,1
-7.60,5,0,13,0.5909090909090909,9,0.4090909090909091,12,6,0,5,1
-17.40,0,0,10,0.45454545454545453,12,0.5454545454545454,14,12,7,-7,1
-12.90,1,0,9,0.42857142857142855,10,0.47619047619047616,11,6,4,-3,1
